age,area,district,floor,location,mode,price
2015,128,北京周边,共4层,路劲国际城,4室2厅2卫,21875
1988,69,西城,中层(共6层),小红庙,3室1厅1卫,92753
2014,78,北京周边,中层(共30层),富力新城,2室2厅1卫,14102
2011,412,海淀,共3层,御园,4室3厅5卫,92233
1986,56,延庆,共5层,川北小区,2室1厅1卫,30864
2004,157,大兴,高层(共8层),金地格林小镇(大兴区别墅),3室2厅2卫,58618
2004,178,顺义,共5层,水木兰亭花园,3室2厅3卫,56170
1985,46,房山,共5层,东风北里,1室1厅1卫,21304
2003,59,东城,高层(共17层),新景家园东区,1室1厅1卫,94610
2016,50,北京周边,低层(共18层),八达岭孔雀城(公寓),2室2厅1卫,10000
2017,314,海淀,中层(共10层),万科如园,5室2厅4卫,95236
1996,109,东城,中层(共7层),东花市北里东区,3室1厅1卫,97958
2015,86,北京周边,高层(共33层),首尔甜城,2室2厅1卫,23255
2002,72,丰台,高层(共6层),石榴园南里小区,3室1厅1卫,50337
2015,326,密云,共3层,阳光城君山墅,4室2厅4卫,18404
1994,53,西城,低层(共6层),京畿道小区,2室1厅1卫,154135
2006,176,朝阳,低层(共19层),福景苑,2室2厅2卫,69886
2007,65,丰台,中层(共18层),三环新城8号院,1室1厅1卫,56722
2013,160,平谷,共3层,世外桃苑二期,3室1厅2卫,12812
2010,63,昌平,高层(共18层),北街家园六区,2室1厅1卫,47686
2000,112,朝阳,低层(共23层),天鹅湾南区,2室2厅2卫,80128
2016,95,房山,低层(共16层),万科长阳天地,3室2厅1卫,51052
2010,337,昌平,共2层,珠江壹千栋,4室3厅4卫,47477
2010,139,密云,高层(共15层),行宫御东园,3室2厅2卫,27338
2016,131,北京周边,低层(共32层),海韵星城,1室0厅1卫,7251
2011,82,昌平,高层(共11层),领秀慧谷A区(三区),2室1厅2卫,48780
1995,74,海淀,高层(共16层),海淀南路小区,3室1厅1卫,90909
2017,55,朝阳,低层(共28层),鸿博家园二期C区,1室1厅1卫,29090
2017,72,北京周边,中层(共28层),绿地国宝21城,2室2厅1卫,11944
2018,80,通州,中层(共19层),台湖银河湾,3室1厅1卫,65000
1980,56,西城,共5层,白广路6号院,3室1厅1卫,93855
2004,81,海淀,中层(共18层),安宁里(南区),2室2厅1卫,55555
2001,45,海淀,高层(共6层),新街口外大街31号院,2室1厅1卫,83885
2013,95,昌平,高层(共14层),花雨汀,4室2厅2卫,45263
2006,46,通州,中层(共7层),欣桥家园,1室1厅1卫,21739
2017,37,房山,共5层,长阳半岛中央城,2室1厅1卫,27027
2005,87,昌平,中层(共6层),拓然家苑,2室1厅1卫,35632
2010,45,北京周边,高层(共12层),星河185,2室1厅2卫,32222
2014,203,顺义,低层(共14层),万通天竺新新家园,4室2厅2卫,64039
2016,107,北京周边,中层(共23层),福泰花园(西区),3室1厅1卫,14205
2000,136,西城,低层(共29层),西华经典,3室2厅2卫,109994
2000,894,顺义,共4层,丽宫别墅,6室6厅7卫,76051
1998,159,顺义,高层(共7层),天竺花园天祥园,4室2厅2卫,33333
2008,51,朝阳,高层(共32层),天畅园,1室1厅1卫,73529
2005,133,朝阳,中层(共32层),融科橄榄城(一期),3室2厅2卫,101503
2005,94,朝阳,低层(共25层),苹果社区(南区),2室1厅1卫,79609
1998,113,海淀,高层(共22层),紫金庄园,3室1厅1卫,87017
2015,84,大兴,中层(共28层),保利春天里,2室1厅1卫,41666
2016,83,北京周边,高层(共24层),桃源新都孔雀城,2室1厅1卫,9638
2007,314,顺义,共5层,水青庭,4室3厅4卫,40764
2000,83,密云,中层(共6层),京溪小区,2室1厅1卫,15060
2016,85,北京周边,低层(共27层),福泰花园(西区),2室2厅1卫,14117
2004,340,朝阳,共2层,大湖山庄,5室3厅5卫,77647
2017,20,昌平,低层(共6层),顺玮阁小区,1室1厅1卫,25000
2012,374,海淀,低层(共7层),西山壹号院北区,4室2厅4卫,104057
2017,115,丰台,中层(共15层),公园懿府,3室2厅2卫,69478
2010,91,昌平,高层(共9层),随园,2室2厅2卫,39010
2008,88,朝阳,中层(共18层),富力又一城B区,2室1厅1卫,50864
2006,130,房山,中层(共6层),碧波园,3室2厅2卫,29230
2008,108,密云,高层(共6层),彩虹园小区,2室2厅1卫,21759
2016,115,丰台,低层(共17层),公园懿府,3室2厅2卫,68608
1996,73,石景山,低层(共18层),海特花园,2室1厅1卫,47541
1986,53,门头沟,共5层,大峪南路小区,2室1厅1卫,36911
2018,45,北京周边,中层(共23层),首尔甜城,2室1厅1卫,15555
2011,77,通州,中层(共22层),东亚瑞晶苑,2室1厅1卫,30479
2003,128,朝阳,高层(共11层),澳景花庭,3室2厅2卫,80481
2012,86,朝阳,中层(共28层),筑华年,2室1厅1卫,73145
2004,124,东城,中层(共14层),幸福家园(二期),3室2厅2卫,108870
2010,310,朝阳,低层(共21层),泛海国际兰海园,4室2厅3卫,109677
2000,139,海淀,高层(共25层),北京科技会展中心公寓,3室1厅1卫,50359
2003,57,朝阳,高层(共28层),百环家园,1室1厅1卫,59130
2016,14,东城,共1层,方家胡同小区,1室1厅1卫,128571
2015,118,朝阳,低层(共25层),林奥嘉园,2室1厅2卫,50000
2003,93,海淀,高层(共9层),玉渊潭南路9号院,2室2厅1卫,128068
2002,85,昌平,高层(共33层),天通苑西三区,2室1厅1卫,41928
2007,142,朝阳,中层(共27层),国美第一城2号院,3室2厅2卫,63091
2003,123,昌平,中层(共6层),王府温馨公寓,3室2厅2卫,32902
2015,128,北京周边,共4层,路劲国际城,4室2厅2卫,21875
2010,132,房山,高层(共6层),世界名园(B区),3室2厅2卫,19998
2009,89,顺义,高层(共10层),港馨家园西区,2室2厅1卫,38764
1990,90,朝阳,低层(共23层),住欣家园(东区),3室1厅1卫,40852
2010,222,海淀,中层(共7层),北辰香麓观麓园,4室2厅3卫,56311
2012,200,海淀,中层(共6层),西山壹号院北区,3室2厅2卫,109000
2004,88,石景山,中层(共6层),翠谷玉景苑,2室1厅2卫,56704
2010,112,密云,低层(共6层),檀城北区,3室2厅2卫,26785
2001,110,朝阳,高层(共25层),绣菊园南区,3室1厅1卫,47877
2010,63,北京周边,低层(共26层),潮白人家,1室1厅1卫,26148
2006,118,朝阳,高层(共27层),世茂奥临花园,2室1厅2卫,84745
2008,146,密云,中层(共21层),密东广场,3室2厅2卫,27397
2005,158,大兴,共3层,秀水花园,3室2厅3卫,50489
2010,343,朝阳,共4层,中海安德鲁斯庄园东区,4室3厅4卫,61224
2013,73,密云,高层(共11层),北京城建上河湾(北区),2室1厅1卫,25342
2004,97,西城,高层(共29层),朗琴园,2室1厅1卫,101030
2011,87,北京周边,中层(共6层),京津花园,2室2厅1卫,10919
2013,85,北京周边,中层(共27层),潮白河孔雀城英国宫香醍园东区,2室2厅1卫,16470
2007,214,朝阳,低层(共18层),融科橄榄城(二期),4室2厅4卫,93127
2003,446,顺义,共3层,丽高花园,4室3厅4卫,56053
1988,57,海淀,低层(共6层),永定路西里小区,2室1厅1卫,103806
1999,101,石景山,低层(共6层),七星园,3室2厅1卫,52114
2006,90,朝阳,低层(共27层),北京新天地(东区),2室1厅1卫,53888
2014,77,通州,低层(共16层),首开国风美仑,2室2厅1卫,34415
1981,64,石景山,高层(共6层),永乐小区,2室1厅1卫,52148
2013,115,北京周边,高层(共24层),潮白河孔雀城英国宫(一期),3室2厅1卫,15652
2007,202,昌平,共5层,北京洋房,4室2厅3卫,51237
2000,121,大兴,中层(共8层),听涛雅苑,3室2厅2卫,47925
2013,281,朝阳,低层(共21层),富力十号,4室2厅4卫,145710
2004,189,朝阳,中层(共25层),万豪国际公寓,3室2厅2卫,68783
2015,95,昌平,高层(共18层),羊各庄新村,3室1厅1卫,20000
2004,136,大兴,低层(共6层),育龙家园,3室2厅2卫,58088
1999,108,西城,高层(共16层),康乐里小区,2室1厅1卫,109933
2000,96,大兴,低层(共18层),新康家园,2室1厅1卫,50750
2001,81,大兴,高层(共6层),美然绿色家园,2室1厅1卫,45061
2004,97,顺义,高层(共6层),空港米兰花园,2室1厅1卫,44147
